"Al2O3","CaO","MgO","SiO2","Tliq.C"
11.92974,5.149808,15.34298,67.57747,1324
2.6325,22.21048,14.26049,60.89653,1360
8.039575,13.54842,14.8781,63.5339,1270
10.59601,9.453055,15.1701,64.78084,1261
1.496277,35.77043,14.01946,48.71384,1346
3.789688,22.38639,14.37343,59.4505,1322
9.291987,13.66041,15.00108,62.04653,1236
7.905447,18.89899,14.81411,58.38146,1268
9.258701,18.98301,14.94734,56.81095,1245
3.029543,33.50937,14.19274,49.26835,1320
4.601344,31.14114,14.37085,49.88666,1316
5.126104,32.62143,14.4088,47.84367,1300
7.853864,28.56017,14.71745,48.86852,1280
9.232416,31.17512,14.8292,44.76326,1246
11.88604,10.62446,15.28677,62.20274,1240
10.54235,16.99876,15.09328,57.36562,1266
14.54821,10.80651,15.54871,59.09657,1299
15.21668,11.96638,15.60392,57.21302,1328
16.59297,12.07016,15.73925,55.59763,1354
10.70104,24.32112,15.03961,49.93823,1308
16.5182,18.77253,15.66833,49.04094,1392
18.65996,15.6318,15.91021,49.79803,1404
10.66644,29.09098,14.99098,45.2516,1272
13.63045,24.78322,15.32536,46.26096,1346
13.24113,5.226519,15.47213,66.06022,1363
11.90348,8.439418,15.3092,64.3479,1256
14.60263,5.238381,15.60686,64.55213,1370
14.56993,8.584244,15.57192,61.27391,1320
16.66841,5.306835,15.81081,62.21394,1399
16.61804,9.822531,15.76303,57.7964,1325
18.10355,3.065453,15.97419,62.85682,1444
19.47823,7.702098,16.0664,56.75327,1382
23.98107,4.363864,16.544,55.11106,1553
2.510405,36.51584,14.11283,46.86092,1331
5.118151,34.8973,14.38645,45.5981,1305
2.502787,40.95565,14.07,42.47156,1396
5.110223,37.16613,14.36416,43.35949,1346
7.829011,33.21477,14.67088,44.28534,1280
9.805635,31.73257,14.88069,43.58111,1249
6.286931,39.48909,14.45869,39.7653,1369
3.781423,43.54468,14.17211,38.50179,1396
5.094439,41.68275,14.31979,38.90302,1387
7.804316,37.84,14.6246,39.73109,1343
10.63206,33.83009,14.94266,40.59518,1299
6.278229,41.50993,14.43868,37.77317,1386
7.177176,41.7591,14.52535,36.53838,1396
7.779776,42.43614,14.57861,35.20547,1409
10.59791,38.53875,14.89466,35.96868,1409
10.58091,40.88176,14.87077,33.66656,1440
10.56397,43.21726,14.84696,31.37181,1473
11.97551,45.96768,14.9607,27.09612,1428
18.70274,12.22925,15.94669,53.12132,1378
20.17154,10.04055,16.11291,53.675,1404
21.6375,10.1305,16.25724,51.97475,1442
23.9431,6.731318,16.51781,52.80778,1490
25.48088,6.793145,16.66952,51.05645,1512
20.15835,15.29589,16.0618,48.48397,1454
15.09252,24.10455,15.4766,45.32634,1424
11.72284,31.06731,15.07688,42.13297,1287
12.09257,31.75901,15.10694,41.04148,1304
13.58555,29.64189,15.27487,41.4977,1362
13.54093,34.46864,15.22471,36.76571,1430
16.61735,30.21407,15.56972,37.59887,1494
13.49661,39.2638,15.17488,32.0647,1477
16.56173,35.13176,15.51761,32.7889,1527
19.7685,30.80877,15.87618,33.54656,1581
16.50648,40.01665,15.46585,28.01102,1526
14.19911,46.52981,15.1756,24.09548,1419
14.91334,46.8364,15.24343,23.00683,1416
16.4516,44.86906,15.41443,23.26491,1469
17.96436,47.73858,15.53706,18.76,1452
19.56748,45.74324,15.71474,18.97454,1468
2.495214,45.3686,14.02743,38.10875,1451
2.491446,47.56507,14.00625,35.93724,1601
5.078753,46.17157,14.2757,34.47398,1477
6.415087,44.32346,14.42557,34.83589,1430
7.75539,47.00347,14.53292,30.70823,1479
9.14467,45.1306,14.68826,31.03647,1432
2.487688,49.75492,13.98512,33.77227,1656
5.070946,48.40562,14.25376,32.26968,1611
7.743254,49.27641,14.51017,28.47016,1579
7.731156,51.54225,14.4875,26.23909,1643
10.53025,47.86589,14.79957,26.80429,1510
10.49674,52.48495,14.75248,22.26583,1598
13.40884,48.76056,15.07619,22.75441,1485
15.54382,47.39683,15.30056,21.75879,1437
14.88887,49.22056,15.21841,20.67216,1478
13.36538,53.46277,15.02732,18.14453,1588
16.39709,49.68931,15.36335,18.55025,1505
18.02076,9.908594,15.90114,56.16951,1349
9.262041,26.46359,14.87678,49.39758,1267
25.52167,4.404011,16.69621,53.37812,1524
10.64923,31.46436,14.96678,42.91963,1240
12.0533,36.526,15.05788,36.36283,1396
13.45258,44.02767,15.12537,27.39437,1456
10.97039,45.57703,14.86485,28.58773,1428
14.91334,46.8364,15.24343,23.00683,1416
11.91782,52.96935,14.88863,20.2242,1572
21.37859,48.03989,8.157975,22.42355,1525
